road,frc,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,Delay,delay ratio,Traffic level,Day,Hour,minute,latitude,longitude
18.0,0.0,39,39,918,918,1.0,0,0.0,1,27,18,30,19.25,73.05
18.0,3.0,23,23,190,190,1.0,0,0.0,1,27,18,30,19.25,72.98
4.0,3.0,6,10,6,3,1.0,3,1.0,0,27,18,30,19.2183,72.9781
4.0,3.0,19,19,148,148,1.0,0,0.0,1,27,18,30,19.076,72.8777
9.0,3.0,21,21,228,228,1.0,0,0.0,1,27,18,30,19.196,72.96
9.0,1.0,54,54,126,126,1.0,0,0.0,1,27,18,30,19.05,72.87
20.0,3.0,32,32,1022,1022,1.0,0,0.0,1,27,18,30,19.18,73.01
20.0,3.0,20,20,220,220,1.0,0,0.0,1,27,18,30,19.045,73.015
19.0,3.0,15,19,1000,789,0.947993,211,0.2674271229404309,2,27,18,30,19.06,72.885
19.0,3.0,25,30,555,462,0.985374,93,0.2012987012987013,2,27,18,30,18.98,73.11
14.0,3.0,6,10,6,3,1.0,3,1.0,0,27,18,30,19.2183,72.9781
14.0,3.0,16,20,193,154,0.75,39,0.2532467532467532,2,27,18,30,20.011,73.79
11.0,2.0,29,29,2552,2552,1.0,0,0.0,1,27,18,30,19.41,73.18
11.0,3.0,61,61,1109,1109,1.0,0,0.0,1,27,18,30,19.43,73.48
17.0,0.0,50,50,747,747,1.0,0,0.0,1,27,18,30,19.32,73.1
17.0,4.0,26,26,2320,2320,1.0,0,0.0,1,27,18,30,19.3,73.13
10.0,0.0,29,29,1379,1379,1.0,0,0.0,1,27,18,30,19.22,73.0
16.0,1.0,20,27,3089,2288,0.994994,801,0.3500874125874126,2,27,18,30,19.24,73.13
16.0,3.0,14,18,1241,965,0.852081,276,0.2860103626943005,2,27,18,30,19.22,73.1
12.0,3.0,26,34,1301,995,0.894258,306,0.3075376884422111,2,27,18,30,18.65,72.87
12.0,3.0,11,19,975,564,0.757984,411,0.7287234042553191,0,27,18,30,19.42,72.84
18.0,0.0,39,39,918,918,1.0,0,0.0,1,27,18,49,19.25,73.05
18.0,3.0,18,23,243,190,1.0,53,0.2789473684210526,2,27,18,49,19.25,72.98
4.0,3.0,6,11,6,3,1.0,3,1.0,0,27,18,49,19.2183,72.9781
4.0,3.0,14,19,201,148,0.94,53,0.3581081081081081,2,27,18,49,19.076,72.8777
9.0,3.0,21,21,228,228,1.0,0,0.0,1,27,18,49,19.196,72.96
9.0,1.0,54,54,126,126,1.0,0,0.0,1,27,18,49,19.05,72.87
20.0,3.0,32,32,1022,1022,1.0,0,0.0,1,27,18,49,19.18,73.01
20.0,3.0,18,20,245,220,0.834583,25,0.11363636363636363,1,27,18,49,19.045,73.015
19.0,3.0,14,18,1072,833,0.973116,239,0.28691476590636256,2,27,18,49,19.06,72.885
19.0,3.0,26,31,534,447,0.98828,87,0.19463087248322147,2,27,18,49,18.98,73.11
14.0,3.0,6,11,6,3,1.0,3,1.0,0,27,18,49,19.2183,72.9781
14.0,3.0,20,20,154,154,1.0,0,0.0,1,27,18,49,20.011,73.79
11.0,2.0,29,29,2552,2552,1.0,0,0.0,1,27,18,49,19.41,73.18
11.0,3.0,61,61,1109,1109,1.0,0,0.0,1,27,18,49,19.43,73.48
17.0,0.0,50,50,747,747,1.0,0,0.0,1,27,18,49,19.32,73.1
17.0,4.0,26,26,2320,2320,1.0,0,0.0,1,27,18,49,19.3,73.13
10.0,0.0,24,29,1667,1379,0.999135,288,0.2088469905728789,2,27,18,49,19.22,73.0
16.0,1.0,21,27,2942,2288,0.995537,654,0.28583916083916083,2,27,18,49,19.24,73.13
16.0,3.0,15,18,1158,965,0.869554,193,0.2,2,27,18,49,19.22,73.1
12.0,3.0,27,34,1253,995,0.904963,258,0.2592964824120603,2,27,18,49,18.65,72.87
12.0,3.0,11,19,975,564,0.643989,411,0.7287234042553191,0,27,18,49,19.42,72.84
18.0,0.0,39,39,918,918,1.0,0,0.0,1,27,19,12,19.25,73.05
18.0,3.0,23,23,190,190,1.0,0,0.0,1,27,19,12,19.25,72.98
4.0,3.0,5,10,7,3,1.0,4,1.3333333333333333,0,27,19,12,19.2183,72.9781
4.0,3.0,14,18,201,157,0.99,44,0.2802547770700637,2,27,19,12,19.076,72.8777
9.0,3.0,21,21,228,228,1.0,0,0.0,1,27,19,12,19.196,72.96
9.0,1.0,54,54,126,126,1.0,0,0.0,1,27,19,12,19.05,72.87
20.0,3.0,32,32,1022,1022,1.0,0,0.0,1,27,19,12,19.18,73.01
20.0,3.0,18,20,245,220,0.865646,25,0.11363636363636363,1,27,19,12,19.045,73.015
