iter	Passed	Remaining
0	155	31003
1	170	16903
2	185	12199
3	201	9892
4	216	8425
5	231	7492
6	245	6760
7	258	6208
8	272	5793
9	288	5489
10	303	5223
11	317	4980
12	332	4778
13	347	4612
14	361	4464
15	376	4325
16	392	4222
17	409	4138
18	423	4035
19	438	3950
20	452	3859
21	466	3772
22	479	3691
23	492	3612
24	505	3539
25	517	3463
26	530	3399
27	543	3341
28	557	3288
29	572	3245
30	586	3195
31	600	3150
32	614	3111
33	630	3077
34	644	3036
35	657	2994
36	672	2961
37	686	2925
38	697	2880
39	711	2845
40	723	2805
41	737	2773
42	749	2736
43	761	2699
44	774	2668
45	791	2649
46	803	2615
47	817	2587
48	830	2559
49	843	2529
50	855	2499
51	866	2466
52	884	2452
53	898	2429
54	913	2408
55	927	2384
56	941	2361
57	954	2335
58	969	2317
59	983	2295
60	999	2277
61	1016	2262
62	1030	2241
63	1044	2219
64	1060	2201
65	1071	2175
66	1085	2154
67	1098	2132
68	1111	2110
69	1123	2087
70	1136	2064
71	1149	2043
72	1161	2021
73	1176	2003
74	1193	1988
75	1209	1972
76	1225	1957
77	1239	1939
78	1253	1919
79	1268	1902
80	1285	1888
81	1297	1867
82	1310	1846
83	1324	1829
84	1337	1809
85	1349	1788
86	1361	1767
87	1376	1751
88	1390	1734
89	1405	1717
90	1419	1700
91	1432	1682
92	1446	1663
93	1463	1650
94	1476	1632
95	1490	1615
96	1503	1596
97	1516	1578
98	1531	1562
99	1548	1548
100	1565	1534
101	1582	1520
102	1600	1507
103	1614	1490
104	1628	1473
105	1642	1456
106	1656	1439
107	1670	1423
108	1689	1410
109	1705	1395
110	1725	1383
111	1740	1367
112	1757	1353
113	1773	1337
114	1786	1320
115	1802	1305
116	1815	1287
117	1827	1269
118	1840	1252
119	1858	1239
120	1876	1225
121	1893	1210
122	1910	1196
123	1927	1181
124	1940	1164
125	1956	1149
126	1970	1132
127	1983	1115
128	1999	1100
129	2013	1084
130	2028	1068
131	2044	1053
132	2058	1037
133	2073	1021
134	2085	1003
135	2099	988
136	2111	971
137	2126	955
138	2143	940
139	2158	924
140	2170	908
141	2184	892
142	2195	875
143	2206	858
144	2218	841
145	2230	825
146	2243	809
147	2256	792
148	2270	777
149	2283	761
150	2299	746
151	2309	729
152	2322	713
153	2335	697
154	2347	681
155	2359	665
156	2371	649
157	2386	634
158	2400	618
159	2416	604
160	2429	588
161	2444	573
162	2459	558
163	2473	542
164	2485	527
165	2498	511
166	2511	496
167	2523	480
168	2535	465
169	2549	449
170	2562	434
171	2574	419
172	2588	403
173	2603	389
174	2620	374
175	2634	359
176	2643	343
177	2660	328
178	2674	313
179	2687	298
180	2700	283
181	2713	268
182	2725	253
183	2738	238
184	2753	223
185	2766	208
186	2781	193
187	2796	178
188	2809	163
189	2822	148
190	2833	133
191	2846	118
192	2861	103
193	2876	88
194	2893	74
195	2908	59
196	2923	44
197	2938	29
198	2954	14
199	2970	0
