_id,road,point,timestamp,roadName,frc,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure
68af0164c0e5f68e3352f663,SH-42 (Ghodbunder Road),"19.2500,73.0500",2025-08-27 13:00:19.873,,FRC1,39,39,918,918,1.0,False
68af0166c0e5f68e3352f664,SH-42 (Ghodbunder Road),"19.2500,72.9800",2025-08-27 13:00:19.873,,FRC4,23,23,190,190,1.0,False
68af0166c0e5f68e3352f665,Eastern Express Highway,"19.2183,72.9781",2025-08-27 13:00:19.873,,FRC4,6,10,6,3,1.0,False
68af0166c0e5f68e3352f666,Eastern Express Highway,"19.0760,72.8777",2025-08-27 13:00:19.873,,FRC4,19,19,148,148,1.0,False
68af0166c0e5f68e3352f667,LBS Marg,"19.1960,72.9600",2025-08-27 13:00:19.873,,FRC4,21,21,228,228,1.0,False
68af0167c0e5f68e3352f668,LBS Marg,"19.0500,72.8700",2025-08-27 13:00:19.873,,FRC2,54,54,126,126,1.0,False
68af0167c0e5f68e3352f669,Thane-Belapur Road,"19.1800,73.0100",2025-08-27 13:00:19.873,,FRC4,32,32,1022,1022,1.0,False
68af0167c0e5f68e3352f66a,Thane-Belapur Road,"19.0450,73.0150",2025-08-27 13:00:19.873,,FRC4,20,20,220,220,1.0,False
68af0168c0e5f68e3352f66b,Sion-Panvel Expressway,"19.0600,72.8850",2025-08-27 13:00:19.873,,FRC4,15,19,1000,789,0.947993,False
68af0168c0e5f68e3352f66c,Sion-Panvel Expressway,"18.9800,73.1100",2025-08-27 13:00:19.873,,FRC4,25,30,555,462,0.985374,False
68af0168c0e5f68e3352f66d,Mumbai-Nashik Expressway (NH 3),"19.2183,72.9781",2025-08-27 13:00:19.873,,FRC4,6,10,6,3,1.0,False
68af0168c0e5f68e3352f66e,Mumbai-Nashik Expressway (NH 3),"20.0110,73.7900",2025-08-27 13:00:19.873,,FRC4,16,20,193,154,0.75,False
68af0169c0e5f68e3352f66f,MDR 64,"19.4100,73.1800",2025-08-27 13:00:19.873,,FRC3,29,29,2552,2552,1.0,False
68af0169c0e5f68e3352f670,MDR 64,"19.4300,73.4800",2025-08-27 13:00:19.873,,FRC4,61,61,1109,1109,1.0,False
68af0169c0e5f68e3352f671,SH 40,"19.3200,73.1000",2025-08-27 13:00:19.873,,FRC1,50,50,747,747,1.0,False
68af0169c0e5f68e3352f672,SH 40,"19.3000,73.1300",2025-08-27 13:00:19.873,,FRC5,26,26,2320,2320,1.0,False
68af016ac0e5f68e3352f673,MDR 62,"19.2200,73.0000",2025-08-27 13:00:19.873,,FRC1,29,29,1379,1379,1.0,False
68af016ac0e5f68e3352f674,Ring Road (Kalyan-Dombivli),"19.2400,73.1300",2025-08-27 13:00:19.873,,FRC2,20,27,3089,2288,0.994994,False
68af016ac0e5f68e3352f675,Ring Road (Kalyan-Dombivli),"19.2200,73.1000",2025-08-27 13:00:19.873,,FRC4,14,18,1241,965,0.852081,False
68af016bc0e5f68e3352f676,Multi-Modal Corridor,"18.6500,72.8700",2025-08-27 13:00:19.873,,FRC4,26,34,1301,995,0.894258,False
68af016bc0e5f68e3352f677,Multi-Modal Corridor,"19.4200,72.8400",2025-08-27 13:00:19.873,,FRC4,11,19,975,564,0.757984,False
68af05d9e5b2ffa1c92c7a49,SH-42 (Ghodbunder Road),"19.2500,73.0500",2025-08-27 13:19:20.998,,FRC1,39,39,918,918,1.0,False
68af05dbe5b2ffa1c92c7a4a,SH-42 (Ghodbunder Road),"19.2500,72.9800",2025-08-27 13:19:20.998,,FRC4,18,23,243,190,1.0,False
68af05dbe5b2ffa1c92c7a4b,Eastern Express Highway,"19.2183,72.9781",2025-08-27 13:19:20.998,,FRC4,6,11,6,3,1.0,False
68af05dce5b2ffa1c92c7a4c,Eastern Express Highway,"19.0760,72.8777",2025-08-27 13:19:20.998,,FRC4,14,19,201,148,0.94,False
68af05dce5b2ffa1c92c7a4d,LBS Marg,"19.1960,72.9600",2025-08-27 13:19:20.998,,FRC4,21,21,228,228,1.0,False
68af05dde5b2ffa1c92c7a4e,LBS Marg,"19.0500,72.8700",2025-08-27 13:19:20.998,,FRC2,54,54,126,126,1.0,False
68af05dde5b2ffa1c92c7a4f,Thane-Belapur Road,"19.1800,73.0100",2025-08-27 13:19:20.998,,FRC4,32,32,1022,1022,1.0,False
68af05dde5b2ffa1c92c7a50,Thane-Belapur Road,"19.0450,73.0150",2025-08-27 13:19:20.998,,FRC4,18,20,245,220,0.834583,False
68af05dee5b2ffa1c92c7a51,Sion-Panvel Expressway,"19.0600,72.8850",2025-08-27 13:19:20.998,,FRC4,14,18,1072,833,0.973116,False
